tax,Index,r,P_value,P_value_sig
TN,TN,1,0.00E+00,***
TN,NH4_N,0.65538017,0.00170804,**
TN,NO3_N,0.34285714,0.13891001,
TN,MBN,0.8347766,4.71E-06,***
TN,TC,0.87819549,3.57E-07,***
TN,OM,0.90075188,6.16E-08,***
TN,MBC,0.66516125,0.00137314,**
TN,TP,-0.3112782,0.18157577,
TN,AP,-0.21135767,0.37104154,
TN,TK,0.16842105,0.47782868,
TN,AK,0.26237448,0.26376270,
TN,pH,-0.38299484,0.09555896,
TN,APP,0.47368421,0.03487999,*
TN,LAP,0.1593985,0.50205246,
TN,NAG,0.14736842,0.53524735,
TN,Urease,0.78496241,4.15E-05,***
TN,BG,0.40300752,0.07809347,
TN,CBH,0.4962406,0.02605146,*
TN,BX,0.53082707,0.01603544,*
TN,AKP,0.09323308,0.69582886,
TN,EMF,0.70526316,5.14E-04,***
NH4_N,TN,0.65538017,0.00170804,**
NH4_N,NH4_N,1,0.00E+00,***
NH4_N,NO3_N,0.57787827,0.00761689,**
NH4_N,MBN,0.68964223,7.67E-04,***
NH4_N,TC,0.54477066,0.01300059,*
NH4_N,OM,0.5816405,0.00714292,**
NH4_N,MBC,0.51036595,0.02149173,*
NH4_N,TP,-0.41309267,0.07024982,
NH4_N,AP,-0.50658641,0.02264431,*
NH4_N,TK,0.18585408,0.43273597,
NH4_N,AK,-0.1274806,0.59223845,
NH4_N,pH,-0.4499247,0.04653735,*
NH4_N,APP,0.53574131,0.01490708,*
NH4_N,LAP,-0.03310761,0.88979355,
NH4_N,NAG,-0.1647856,0.48751822,
NH4_N,Urease,0.51918751,0.01898251,*
NH4_N,BG,0.09255082,0.69795402,
NH4_N,CBH,0.34838234,0.13224310,
NH4_N,BX,0.53574131,0.01490708,*
NH4_N,AKP,-0.02182092,0.92724390,
NH4_N,EMF,0.5899174,0.00618484,**
NO3_N,TN,0.34285714,0.13891001,
NO3_N,NH4_N,0.57787827,0.00761689,**
NO3_N,NO3_N,1,0.00E+00,***
NO3_N,MBN,0.40496827,0.07651978,
NO3_N,TC,0.54586466,0.01278363,*
NO3_N,OM,0.39097744,0.08828010,
NO3_N,MBC,0.55593319,0.01092090,*
NO3_N,TP,-0.55488722,0.01110350,*
NO3_N,AP,-0.75968415,1.02E-04,***
NO3_N,TK,-0.21052632,0.37296991,
NO3_N,AK,-0.41979918,0.06537091,
NO3_N,pH,-0.4762981,0.03375152,*
NO3_N,APP,0.31278195,0.17936353,
NO3_N,LAP,-0.34285714,0.13891001,
NO3_N,NAG,-0.70977444,4.56E-04,***
NO3_N,Urease,0.18646617,0.43119491,
NO3_N,BG,-0.52781955,0.01675913,*
NO3_N,CBH,0.08120301,0.73360763,
NO3_N,BX,0.11278195,0.63591706,
NO3_N,AKP,0.19699248,0.40515233,
NO3_N,EMF,0.24210526,0.30375506,
MBN,TN,0.8347766,4.71E-06,***
MBN,NH4_N,0.68964223,7.67E-04,***
MBN,NO3_N,0.40496827,0.07651978,
MBN,MBN,1,0.00E+00,***
MBN,TC,0.74068546,1.88E-04,***
MBN,OM,0.81445291,1.24E-05,***
MBN,MBC,0.36500765,0.11355325,
MBN,TP,-0.32367352,0.16388612,
MBN,AP,-0.35655131,0.12280585,
MBN,TK,0.00075273,0.99748704,
MBN,AK,0.04606258,0.84708766,
MBN,pH,-0.37288138,0.10539906,
MBN,APP,0.54196497,0.01357061,*
MBN,LAP,-0.03387281,0.88726179,
MBN,NAG,0.02107642,0.92972028,
MBN,Urease,0.69326352,7.01E-04,***
MBN,BG,0.28453161,0.22403860,
MBN,CBH,0.43658289,0.05428050,
MBN,BX,0.51938309,0.01892965,*
MBN,AKP,-0.06699289,0.77899786,
MBN,EMF,0.61949607,0.00357952,**
TC,TN,0.87819549,3.57E-07,***
TC,NH4_N,0.54477066,0.01300059,*
TC,NO3_N,0.54586466,0.01278363,*
TC,MBN,0.74068546,1.88E-04,***
TC,TC,1,0.00E+00,***
TC,OM,0.87969925,3.21E-07,***
TC,MBC,0.65762828,0.00162557,**
TC,TP,-0.31729323,0.17283689,
TC,AP,-0.24445282,0.29894447,
TC,TK,-0.17593985,0.45809866,
TC,AK,0.25324842,0.28133666,
TC,pH,-0.30925517,0.18458100,
TC,APP,0.37894737,0.09941288,
TC,LAP,-0.03759398,0.87496520,
TC,NAG,-0.23157895,0.32589863,
TC,Urease,0.58195489,0.00710444,**
TC,BG,0.1037594,0.66332575,
TC,CBH,0.35639098,0.12298631,
TC,BX,0.33684211,0.14643294,
TC,AKP,0.12330827,0.60450883,
TC,EMF,0.51578947,0.01991976,*
OM,TN,0.90075188,6.16E-08,***
OM,NH4_N,0.5816405,0.00714292,**
OM,NO3_N,0.39097744,0.08828010,
OM,MBN,0.81445291,1.24E-05,***
OM,TC,0.87969925,3.21E-07,***
OM,OM,1,0.00E+00,***
OM,MBC,0.66440796,0.00139680,**
OM,TP,-0.3037594,0.19291417,
OM,AP,-0.16923657,0.47566840,
OM,TK,-0.02706767,0.90981167,
OM,AK,0.33082,0.15424538,
OM,pH,-0.32731386,0.15892475,
OM,APP,0.57443609,0.00807276,**
OM,LAP,0.18195489,0.44262107,
OM,NAG,0.03609023,0.87993120,
OM,Urease,0.71278195,4.20E-04,***
OM,BG,0.3037594,0.19291417,
OM,CBH,0.56992481,0.00870372,**
OM,BX,0.58045113,0.00729007,**
OM,AKP,0.02857143,0.90482241,
OM,EMF,0.70977444,4.56E-04,***
MBC,TN,0.66516125,0.00137314,**
MBC,NH4_N,0.51036595,0.02149173,*
MBC,NO3_N,0.55593319,0.01092090,*
MBC,MBN,0.36500765,0.11355325,
MBC,TC,0.65762828,0.00162557,**
MBC,OM,0.66440796,0.00139680,**
MBC,MBC,1,0.00E+00,***
MBC,TP,-0.52956779,0.01633534,*
MBC,AP,-0.43481587,0.05537542,
MBC,TK,0.13935995,0.55789016,
MBC,AK,-0.02666788,0.91113867,
MBC,pH,-0.57896758,0.00747709,**
MBC,APP,0.49868262,0.02521296,*
MBC,LAP,0.24632812,0.29513521,
MBC,NAG,-0.07834289,0.74268059,
MBC,Urease,0.59435134,0.00571671,**
MBC,BG,0.01581924,0.94722317,
MBC,CBH,0.43088589,0.05787080,
MBC,BX,0.49642273,0.02598818,*
MBC,AKP,0.30659188,0.18858835,
MBC,EMF,0.67043433,0.00121678,**
TP,TN,-0.3112782,0.18157577,
TP,NH4_N,-0.41309267,0.07024982,
TP,NO3_N,-0.55488722,0.01110350,*
TP,MBN,-0.32367352,0.16388612,
TP,TC,-0.31729323,0.17283689,
TP,OM,-0.3037594,0.19291417,
TP,MBC,-0.52956779,0.01633534,*
TP,TP,1,0.00E+00,***
TP,AP,0.79654011,2.64E-05,***
TP,TK,0.03157895,0.89485439,
TP,AK,0.6745686,0.00110493,**
TP,pH,0.90218235,5.43E-08,***
TP,APP,-0.56240602,0.00984430,**
TP,LAP,-0.21353383,0.36602064,
TP,NAG,0.1112782,0.64045484,
TP,Urease,-0.56842105,0.00892276,**
TP,BG,0.03609023,0.87993120,
TP,CBH,-0.45714286,0.04271851,*
TP,BX,-0.52781955,0.01675913,*
TP,AKP,-0.34736842,0.13344923,
TP,EMF,-0.62406015,0.00327411,**
AP,TN,-0.21135767,0.37104154,
AP,NH4_N,-0.50658641,0.02264431,*
AP,NO3_N,-0.75968415,1.02E-04,***
AP,MBN,-0.35655131,0.12280585,
AP,TC,-0.24445282,0.29894447,
AP,OM,-0.16923657,0.47566840,
AP,MBC,-0.43481587,0.05537542,
AP,TP,0.79654011,2.64E-05,***
AP,AP,1,0.00E+00,***
AP,TK,-0.04889056,0.83781547,
AP,AK,0.78932151,3.51E-05,***
AP,pH,0.79864515,2.42E-05,***
AP,APP,-0.4355021,0.05494822,
AP,LAP,0.07521625,0.75263648,
AP,NAG,0.34674692,0.13419238,
AP,Urease,-0.40616776,0.07556878,
AP,BG,0.25423093,0.27941060,
AP,CBH,-0.18728847,0.42912918,
AP,BX,-0.25949607,0.26922912,
AP,AKP,-0.3452426,0.13600325,
AP,EMF,-0.43324561,0.05636245,
TK,TN,0.16842105,0.47782868,
TK,NH4_N,0.18585408,0.43273597,
TK,NO3_N,-0.21052632,0.37296991,
TK,MBN,0.00075273,0.99748704,
TK,TC,-0.17593985,0.45809866,
TK,OM,-0.02706767,0.90981167,
TK,MBC,0.13935995,0.55789016,
TK,TP,0.03157895,0.89485439,
TK,AP,-0.04889056,0.83781547,
TK,TK,1,0.00E+00,***
TK,AK,0.03498326,0.88358958,
TK,pH,-0.20917989,0.37610502,
TK,APP,-0.12030075,0.61341766,
TK,LAP,0.30977444,0.18380643,
TK,NAG,0.47518797,0.03422725,*
TK,Urease,0.21804511,0.35573637,
TK,BG,0.38796992,0.09097287,
TK,CBH,-0.0556391,0.81577399,
TK,BX,-0.03609023,0.87993120,
TK,AKP,0.1924812,0.41620647,
TK,EMF,0.2481203,0.29152269,
AK,TN,0.26237448,0.26376270,
AK,NH4_N,-0.1274806,0.59223845,
AK,NO3_N,-0.41979918,0.06537091,
AK,MBN,0.04606258,0.84708766,
AK,TC,0.25324842,0.28133666,
AK,OM,0.33082,0.15424538,
AK,MBC,-0.02666788,0.91113867,
AK,TP,0.6745686,0.00110493,**
AK,AP,0.78932151,3.51E-05,***
AK,TK,0.03498326,0.88358958,
AK,AK,1,0.00E+00,***
AK,pH,0.64120839,0.00231283,**
AK,APP,-0.23119375,0.32672667,
AK,LAP,0.08973968,0.70673300,
AK,NAG,0.20913908,0.37620028,
AK,Urease,-0.05551692,0.81617191,
AK,BG,0.33158051,0.15324315,
AK,CBH,-0.04639085,0.84601033,
AK,BX,-0.08745816,0.71388437,
AK,AKP,-0.32777798,0.15829976,
AK,EMF,-0.12700446,0.59363343,
pH,TN,-0.38299484,0.09555896,
pH,NH4_N,-0.4499247,0.04653735,*
pH,NO3_N,-0.4762981,0.03375152,*
pH,MBN,-0.37288138,0.10539906,
pH,TC,-0.30925517,0.18458100,
pH,OM,-0.32731386,0.15892475,
pH,MBC,-0.57896758,0.00747709,**
pH,TP,0.90218235,5.43E-08,***
pH,AP,0.79864515,2.42E-05,***
pH,TK,-0.20917989,0.37610502,
pH,AK,0.64120839,0.00231283,**
pH,pH,1,0.00E+00,***
pH,APP,-0.59217473,0.00594273,**
pH,LAP,-0.3987962,0.08155462,
pH,NAG,-0.05492853,0.81808881,
pH,Urease,-0.63882637,0.00243020,**
pH,BG,-0.15124158,0.52445085,
pH,CBH,-0.50564348,0.02293936,*
pH,BX,-0.57035381,0.00864204,**
pH,AKP,-0.45748696,0.04254270,*
pH,EMF,-0.76448479,8.68E-05,***
APP,TN,0.47368421,0.03487999,*
APP,NH4_N,0.53574131,0.01490708,*
APP,NO3_N,0.31278195,0.17936353,
APP,MBN,0.54196497,0.01357061,*
APP,TC,0.37894737,0.09941288,
APP,OM,0.57443609,0.00807276,**
APP,MBC,0.49868262,0.02521296,*
APP,TP,-0.56240602,0.00984430,**
APP,AP,-0.4355021,0.05494822,
APP,TK,-0.12030075,0.61341766,
APP,AK,-0.23119375,0.32672667,
APP,pH,-0.59217473,0.00594273,**
APP,APP,1,0.00E+00,***
APP,LAP,0.4556391,0.04349341,*
APP,NAG,0.17142857,0.46988617,
APP,Urease,0.62556391,0.00317835,**
APP,BG,0.26766917,0.25389154,
APP,CBH,0.81954887,9.81E-06,***
APP,BX,0.87218045,5.39E-07,***
APP,AKP,0.03909774,0.87000370,
APP,EMF,0.80300752,2.02E-05,***
LAP,TN,0.1593985,0.50205246,
LAP,NH4_N,-0.03310761,0.88979355,
LAP,NO3_N,-0.34285714,0.13891001,
LAP,MBN,-0.03387281,0.88726179,
LAP,TC,-0.03759398,0.87496520,
LAP,OM,0.18195489,0.44262107,
LAP,MBC,0.24632812,0.29513521,
LAP,TP,-0.21353383,0.36602064,
LAP,AP,0.07521625,0.75263648,
LAP,TK,0.30977444,0.18380643,
LAP,AK,0.08973968,0.70673300,
LAP,pH,-0.3987962,0.08155462,
LAP,APP,0.4556391,0.04349341,*
LAP,LAP,1,0.00E+00,***
LAP,NAG,0.59097744,0.00607015,**
LAP,Urease,0.43458647,0.05551879,
LAP,BG,0.68120301,9.44E-04,***
LAP,CBH,0.66466165,0.00138879,**
LAP,BX,0.56240602,0.00984430,**
LAP,AKP,0.30827068,0.18605556,
LAP,EMF,0.63759398,0.00249284,**
NAG,TN,0.14736842,0.53524735,
NAG,NH4_N,-0.1647856,0.48751822,
NAG,NO3_N,-0.70977444,4.56E-04,***
NAG,MBN,0.02107642,0.92972028,
NAG,TC,-0.23157895,0.32589863,
NAG,OM,0.03609023,0.87993120,
NAG,MBC,-0.07834289,0.74268059,
NAG,TP,0.1112782,0.64045484,
NAG,AP,0.34674692,0.13419238,
NAG,TK,0.47518797,0.03422725,*
NAG,AK,0.20913908,0.37620028,
NAG,pH,-0.05492853,0.81808881,
NAG,APP,0.17142857,0.46988617,
NAG,LAP,0.59097744,0.00607015,**
NAG,NAG,1,0.00E+00,***
NAG,Urease,0.43458647,0.05551879,
NAG,BG,0.79548872,2.75E-05,***
NAG,CBH,0.43609023,0.05458410,
NAG,BX,0.39699248,0.08307131,
NAG,AKP,0.08571429,0.71936609,
NAG,EMF,0.37443609,0.10384053,
Urease,TN,0.78496241,4.15E-05,***
Urease,NH4_N,0.51918751,0.01898251,*
Urease,NO3_N,0.18646617,0.43119491,
Urease,MBN,0.69326352,7.01E-04,***
Urease,TC,0.58195489,0.00710444,**
Urease,OM,0.71278195,4.20E-04,***
Urease,MBC,0.59435134,0.00571671,**
Urease,TP,-0.56842105,0.00892276,**
Urease,AP,-0.40616776,0.07556878,
Urease,TK,0.21804511,0.35573637,
Urease,AK,-0.05551692,0.81617191,
Urease,pH,-0.63882637,0.00243020,**
Urease,APP,0.62556391,0.00317835,**
Urease,LAP,0.43458647,0.05551879,
Urease,NAG,0.43458647,0.05551879,
Urease,Urease,1,0.00E+00,***
Urease,BG,0.62105263,0.00347281,**
Urease,CBH,0.73082707,2.52E-04,***
Urease,BX,0.73533835,2.21E-04,***
Urease,AKP,0.24661654,0.29455199,
Urease,EMF,0.88120301,2.89E-07,***
BG,TN,0.40300752,0.07809347,
BG,NH4_N,0.09255082,0.69795402,
BG,NO3_N,-0.52781955,0.01675913,*
BG,MBN,0.28453161,0.22403860,
BG,TC,0.1037594,0.66332575,
BG,OM,0.3037594,0.19291417,
BG,MBC,0.01581924,0.94722317,
BG,TP,0.03609023,0.87993120,
BG,AP,0.25423093,0.27941060,
BG,TK,0.38796992,0.09097287,
BG,AK,0.33158051,0.15324315,
BG,pH,-0.15124158,0.52445085,
BG,APP,0.26766917,0.25389154,
BG,LAP,0.68120301,9.44E-04,***
BG,NAG,0.79548872,2.75E-05,***
BG,Urease,0.62105263,0.00347281,**
BG,BG,1,0.00E+00,***
BG,CBH,0.53383459,0.01533705,*
BG,BX,0.48270677,0.03110522,*
BG,AKP,0.01804511,0.93980920,
BG,EMF,0.56090226,0.01008637,*
CBH,TN,0.4962406,0.02605146,*
CBH,NH4_N,0.34838234,0.13224310,
CBH,NO3_N,0.08120301,0.73360763,
CBH,MBN,0.43658289,0.05428050,
CBH,TC,0.35639098,0.12298631,
CBH,OM,0.56992481,0.00870372,**
CBH,MBC,0.43088589,0.05787080,
CBH,TP,-0.45714286,0.04271851,*
CBH,AP,-0.18728847,0.42912918,
CBH,TK,-0.0556391,0.81577399,
CBH,AK,-0.04639085,0.84601033,
CBH,pH,-0.50564348,0.02293936,*
CBH,APP,0.81954887,9.81E-06,***
CBH,LAP,0.66466165,0.00138879,**
CBH,NAG,0.43609023,0.05458410,
CBH,Urease,0.73082707,2.52E-04,***
CBH,BG,0.53383459,0.01533705,*
CBH,CBH,1,0.00E+00,***
CBH,BX,0.86466165,8.76E-07,***
CBH,AKP,0.28270677,0.22715329,
CBH,EMF,0.82255639,8.53E-06,***
BX,TN,0.53082707,0.01603544,*
BX,NH4_N,0.53574131,0.01490708,*
BX,NO3_N,0.11278195,0.63591706,
BX,MBN,0.51938309,0.01892965,*
BX,TC,0.33684211,0.14643294,
BX,OM,0.58045113,0.00729007,**
BX,MBC,0.49642273,0.02598818,*
BX,TP,-0.52781955,0.01675913,*
BX,AP,-0.25949607,0.26922912,
BX,TK,-0.03609023,0.87993120,
BX,AK,-0.08745816,0.71388437,
BX,pH,-0.57035381,0.00864204,**
BX,APP,0.87218045,5.39E-07,***
BX,LAP,0.56240602,0.00984430,**
BX,NAG,0.39699248,0.08307131,
BX,Urease,0.73533835,2.21E-04,***
BX,BG,0.48270677,0.03110522,*
BX,CBH,0.86466165,8.76E-07,***
BX,BX,1,0.00E+00,***
BX,AKP,0.01203008,0.95985344,
BX,EMF,0.85864662,1.27E-06,***
AKP,TN,0.09323308,0.69582886,
AKP,NH4_N,-0.02182092,0.92724390,
AKP,NO3_N,0.19699248,0.40515233,
AKP,MBN,-0.06699289,0.77899786,
AKP,TC,0.12330827,0.60450883,
AKP,OM,0.02857143,0.90482241,
AKP,MBC,0.30659188,0.18858835,
AKP,TP,-0.34736842,0.13344923,
AKP,AP,-0.3452426,0.13600325,
AKP,TK,0.1924812,0.41620647,
AKP,AK,-0.32777798,0.15829976,
AKP,pH,-0.45748696,0.04254270,*
AKP,APP,0.03909774,0.87000370,
AKP,LAP,0.30827068,0.18605556,
AKP,NAG,0.08571429,0.71936609,
AKP,Urease,0.24661654,0.29455199,
AKP,BG,0.01804511,0.93980920,
AKP,CBH,0.28270677,0.22715329,
AKP,BX,0.01203008,0.95985344,
AKP,AKP,1,0.00E+00,***
AKP,EMF,0.30225564,0.19523758,
EMF,TN,0.70526316,5.14E-04,***
EMF,NH4_N,0.5899174,0.00618484,**
EMF,NO3_N,0.24210526,0.30375506,
EMF,MBN,0.61949607,0.00357952,**
EMF,TC,0.51578947,0.01991976,*
EMF,OM,0.70977444,4.56E-04,***
EMF,MBC,0.67043433,0.00121678,**
EMF,TP,-0.62406015,0.00327411,**
EMF,AP,-0.43324561,0.05636245,
EMF,TK,0.2481203,0.29152269,
EMF,AK,-0.12700446,0.59363343,
EMF,pH,-0.76448479,8.68E-05,***
EMF,APP,0.80300752,2.02E-05,***
EMF,LAP,0.63759398,0.00249284,**
EMF,NAG,0.37443609,0.10384053,
EMF,Urease,0.88120301,2.89E-07,***
EMF,BG,0.56090226,0.01008637,*
EMF,CBH,0.82255639,8.53E-06,***
EMF,BX,0.85864662,1.27E-06,***
EMF,AKP,0.30225564,0.19523758,
EMF,EMF,1,0.00E+00,***
