sample,Niche,treatment,group
CK.Z.1,Rootzone,CK,CK.Z
CK.Z.2,Rootzone,CK,CK.Z
CK.Z.3,Rootzone,CK,CK.Z
CK.Z.4,Rootzone,CK,CK.Z
CK.Z.5,Rootzone,CK,CK.Z
M.Z.1,Rootzone,M,M.Z
M.Z.2,Rootzone,M,M.Z
M.Z.3,Rootzone,M,M.Z
M.Z.4,Rootzone,M,M.Z
M.Z.5,Rootzone,M,M.Z
NPK.Z.1,Rootzone,NPK,NPK.Z
NPK.Z.2,Rootzone,NPK,NPK.Z
NPK.Z.3,Rootzone,NPK,NPK.Z
NPK.Z.4,Rootzone,NPK,NPK.Z
NPK.Z.5,Rootzone,NPK,NPK.Z
N0.Z.1,Rootzone,N0,N0.Z
N0.Z.2,Rootzone,N0,N0.Z
N0.Z.3,Rootzone,N0,N0.Z
N0.Z.4,Rootzone,N0,N0.Z
N0.Z.5,Rootzone,N0,N0.Z
N2.Z.1,Rootzone,N2,N2.Z
N2.Z.2,Rootzone,N2,N2.Z
N2.Z.3,Rootzone,N2,N2.Z
N2.Z.4,Rootzone,N2,N2.Z
N2.Z.5,Rootzone,N2,N2.Z
N4.Z.1,Rootzone,N4,N4.Z
N4.Z.2,Rootzone,N4,N4.Z
N4.Z.3,Rootzone,N4,N4.Z
N4.Z.4,Rootzone,N4,N4.Z
N4.Z.5,Rootzone,N4,N4.Z
N6.Z.1,Rootzone,N6,N6.Z
N6.Z.2,Rootzone,N6,N6.Z
N6.Z.3,Rootzone,N6,N6.Z
N6.Z.4,Rootzone,N6,N6.Z
N6.Z.5,Rootzone,N6,N6.Z
CK.RH.1,Rhizosphere,CK,CK.RH
CK.RH.2,Rhizosphere,CK,CK.RH
CK.RH.3,Rhizosphere,CK,CK.RH
CK.RH.4,Rhizosphere,CK,CK.RH
CK.RH.5,Rhizosphere,CK,CK.RH
M.RH.1,Rhizosphere,M,M.RH
M.RH.2,Rhizosphere,M,M.RH
M.RH.3,Rhizosphere,M,M.RH
M.RH.4,Rhizosphere,M,M.RH
M.RH.5,Rhizosphere,M,M.RH
NPK.RH.1,Rhizosphere,NPK,NPK.RH
NPK.RH.2,Rhizosphere,NPK,NPK.RH
NPK.RH.3,Rhizosphere,NPK,NPK.RH
NPK.RH.4,Rhizosphere,NPK,NPK.RH
NPK.RH.5,Rhizosphere,NPK,NPK.RH
N0.RH.1,Rhizosphere,N0,N0.RH
N0.RH.2,Rhizosphere,N0,N0.RH
N0.RH.3,Rhizosphere,N0,N0.RH
N0.RH.4,Rhizosphere,N0,N0.RH
N0.RH.5,Rhizosphere,N0,N0.RH
N2.RH.1,Rhizosphere,N2,N2.RH
N2.RH.2,Rhizosphere,N2,N2.RH
N2.RH.3,Rhizosphere,N2,N2.RH
N2.RH.4,Rhizosphere,N2,N2.RH
N2.RH.5,Rhizosphere,N2,N2.RH
N4.RH.1,Rhizosphere,N4,N4.RH
N4.RH.2,Rhizosphere,N4,N4.RH
N4.RH.3,Rhizosphere,N4,N4.RH
N4.RH.4,Rhizosphere,N4,N4.RH
N4.RH.5,Rhizosphere,N4,N4.RH
N6.RH.1,Rhizosphere,N6,N6.RH
N6.RH.2,Rhizosphere,N6,N6.RH
N6.RH.3,Rhizosphere,N6,N6.RH
N6.RH.4,Rhizosphere,N6,N6.RH
N6.RH.5,Rhizosphere,N6,N6.RH
CK.R.1,Root,CK,CK.R
CK.R.2,Root,CK,CK.R
CK.R.3,Root,CK,CK.R
CK.R.4,Root,CK,CK.R
CK.R.5,Root,CK,CK.R
M.R.1,Root,M,M.R
M.R.2,Root,M,M.R
M.R.3,Root,M,M.R
M.R.4,Root,M,M.R
M.R.5,Root,M,M.R
NPK.R.1,Root,NPK,NPK.R
NPK.R.2,Root,NPK,NPK.R
NPK.R.3,Root,NPK,NPK.R
NPK.R.4,Root,NPK,NPK.R
NPK.R.5,Root,NPK,NPK.R
N0.R.1,Root,N0,N0.R
N0.R.2,Root,N0,N0.R
N0.R.3,Root,N0,N0.R
N0.R.4,Root,N0,N0.R
N0.R.5,Root,N0,N0.R
N2.R.1,Root,N2,N2.R
N2.R.2,Root,N2,N2.R
N2.R.3,Root,N2,N2.R
N2.R.4,Root,N2,N2.R
N2.R.5,Root,N2,N2.R
N4.R.1,Root,N4,N4.R
N4.R.2,Root,N4,N4.R
N4.R.3,Root,N4,N4.R
N4.R.4,Root,N4,N4.R
N4.R.5,Root,N4,N4.R
N6.R.1,Root,N6,N6.R
N6.R.2,Root,N6,N6.R
N6.R.3,Root,N6,N6.R
N6.R.4,Root,N6,N6.R
N6.R.5,Root,N6,N6.R
CK.N.1,Nodule,CK,CK.N
CK.N.2,Nodule,CK,CK.N
CK.N.3,Nodule,CK,CK.N
CK.N.4,Nodule,CK,CK.N
CK.N.5,Nodule,CK,CK.N
M.N.1,Nodule,M,M.N
M.N.2,Nodule,M,M.N
M.N.3,Nodule,M,M.N
M.N.4,Nodule,M,M.N
M.N.5,Nodule,M,M.N
NPK.N.1,Nodule,NPK,NPK.N
NPK.N.2,Nodule,NPK,NPK.N
NPK.N.3,Nodule,NPK,NPK.N
NPK.N.4,Nodule,NPK,NPK.N
NPK.N.5,Nodule,NPK,NPK.N
N0.N.1,Nodule,N0,N0.N
N0.N.2,Nodule,N0,N0.N
N0.N.3,Nodule,N0,N0.N
N0.N.4,Nodule,N0,N0.N
N0.N.5,Nodule,N0,N0.N
N2.N.1,Nodule,N2,N2.N
N2.N.2,Nodule,N2,N2.N
N2.N.3,Nodule,N2,N2.N
N2.N.4,Nodule,N2,N2.N
N2.N.5,Nodule,N2,N2.N
N4.N.1,Nodule,N4,N4.N
N4.N.2,Nodule,N4,N4.N
N4.N.3,Nodule,N4,N4.N
N4.N.4,Nodule,N4,N4.N
N4.N.5,Nodule,N4,N4.N
N6.N.1,Nodule,N6,N6.N
N6.N.2,Nodule,N6,N6.N
N6.N.3,Nodule,N6,N6.N
N6.N.4,Nodule,N6,N6.N
N6.N.5,Nodule,N6,N6.N
CK.O.1,Original,CK,CK.O
CK.O.2,Original,CK,CK.O
CK.O.3,Original,CK,CK.O
CK.O.4,Original,CK,CK.O
CK.O.5,Original,CK,CK.O
M.O.1,Original,M,M.O
M.O.2,Original,M,M.O
M.O.3,Original,M,M.O
M.O.4,Original,M,M.O
M.O.5,Original,M,M.O
NPK.O.1,Original,NPK,NPK.O
NPK.O.2,Original,NPK,NPK.O
NPK.O.3,Original,NPK,NPK.O
NPK.O.4,Original,NPK,NPK.O
NPK.O.5,Original,NPK,NPK.O
N0.O.1,Original,N0,N0.O
N0.O.2,Original,N0,N0.O
N0.O.3,Original,N0,N0.O
N0.O.4,Original,N0,N0.O
N0.O.5,Original,N0,N0.O
N2.O.1,Original,N2,N2.O
N2.O.2,Original,N2,N2.O
N2.O.3,Original,N2,N2.O
N2.O.4,Original,N2,N2.O
N2.O.5,Original,N2,N2.O
N4.O.1,Original,N4,N4.O
N4.O.2,Original,N4,N4.O
N4.O.3,Original,N4,N4.O
N4.O.4,Original,N4,N4.O
N4.O.5,Original,N4,N4.O
N6.O.1,Original,N6,N6.O
N6.O.2,Original,N6,N6.O
N6.O.3,Original,N6,N6.O
N6.O.4,Original,N6,N6.O
N6.O.5,Original,N6,N6.O
